"","sid","depth","minProbe","minProbeDate","maxProbe","maxProbeDate","thickness","modLL","modDUL","slgaLL","slgaDUL"
"1","opSID_20610",100,1.17776666666667,2020-01-03,20.7385083333333,2019-09-21,100,0.058659076152588,0.273311468987049,0.0870073097522406,0.239660486842786
"2","opSID_20610",200,15.2390791666667,2020-09-26,25.5969416666667,2020-02-02,100,0.0713347646241385,0.267207473084224,0.0941448736256185,0.240963774145275
"3","opSID_20610",300,13.4455166666667,2020-09-27,21.0106208333333,2020-02-11,100,0.0893042608489933,0.263361488950523,0.0976413837819197,0.240068545699633
"4","opSID_20610",400,17.9005791666667,2020-09-27,24.7876578947368,2020-11-28,100,0.107393495597217,0.270507981118828,0.09852694634735,0.23782325319026
"5","opSID_20610",500,22.2961375,2020-09-27,29.5069333333333,2019-12-31,100,0.119960500517357,0.274048427291787,0.101002044030968,0.238193560253086
"6","opSID_20610",600,28.7654666666667,2020-10-09,36.7267625,2019-12-31,100,0.126957462318299,0.273859111178745,0.105102274143868,0.241213074207061
"7","opSID_20610",700,32.2043541666667,2020-10-10,38.404825,2019-12-31,100,0.130173758212985,0.271609603450321,0.109731803345188,0.245266414848193
"8","opSID_20610",800,35.8379083333333,2020-10-10,44.1162916666667,2020-01-01,100,0.132216135252369,0.269732118169889,0.113294232447005,0.248000312249679
"9","opSID_20610",900,29.6252333333333,2020-10-29,35.360425,2020-01-05,100,0.133106684513152,0.268247267321035,0.115776032642643,0.249394823446039
"10","opSID_20610",1000,24.3028416666667,2020-11-02,29.0346458333333,2020-01-05,100,0.132845405995335,0.267155050903761,0.117177203932102,0.249449948437271
"11","opSID_20615",100,0.769302083333333,2019-12-19,18.0842083333333,2016-12-27,100,0.0606599338583493,0.256950654490466,0.0841548982847268,0.235442213339156
"12","opSID_20615",200,4.17781979166667,2016-11-15,18.187346875,2018-08-07,100,0.0708977221615361,0.274314408343876,0.090362665034649,0.235042294506293
"13","opSID_20615",300,4.68651354166667,2016-11-15,18.4686842105263,2017-02-09,100,0.087806665366346,0.278999273271893,0.0951512751250179,0.235793115751697
